"","Video.Name","Metric","Width","Height","Video.Length","Frames.per.Second","Frame.Count","Original.Bitrate","Original.Size","Scene.Count","Avg.Motion","Avg.PCC","Compression.Preset","Compression.Duration","Compressed.Bitrate","Compressed.Size","Average.PSNR","Average.SSIM","Average.VIFp","Normalized.PSNR","Normalized.SSIM","Normalized.VIFp","Normalized.Duration","Normalized.Size","PSNR.By.Duration","SSIM.By.Duration","VIFp.By.Duration"
"1","1080-60fps View.MOV",3.2027324,1920,1080,10.75,60,645,2839.228516,31.61633968,1,0.0666,0.94,"veryfast",15.57,1205.922363,12.91687489,31.68459954,0.936750144,0.543396121,1.12378814943993,1.12325599954666,1.1898913790104,1.01780069062789,1.05435774001039,1.10413380516245,1.10361096223438,1.16908093103802
"2","1080-60fps Walking.MOV",2.9627177,1920,1080,11,60,660,4880.441406,54.27044964,1,0.4596,0.67,"faster",26.02,1861.18689,20.39916229,30.24184613,0.868125554,0.423149708,1.00156652283799,1.00146128541187,1.00089289053119,1.01262129334329,1.00126983029488,0.989083015952793,0.988979090204026,0.988417779786778
"3","160416_30_Smartphone2.mov",5.1066517,1920,1080,11.4,25,285,744.5205078,8.478028297,1,0.2605,0.97,"veryfast",4.72,21.98449707,0.24971962,44.6652567,0.984178115,0.731521357,1.65210771937942,1.86900768733389,1.7585344906146,1.03387703889586,1,1.59797312177839,1.80776593058873,1.70091260803379
"4","161212_068_Vietnam_1080p96fps.mp4",2.9101808,1920,1080,32.48,25,812,5331.632935,170.3689117,1,0.2236,0.94,"faster",19.47,146.9918213,4.757061005,40.69303204,0.973037535,0.521797117,1,1.00303860697919,1,1.03190791435558,1,0.969078719223211,0.97202336858283,0.969078719223211
"5","171124_B1_HD_001.mp4",3.0674348,1920,1080,19.2,25,480,3680.15271,69.75031185,1,0.2745,0.8,"fast",19.59,328.6102295,6.2865448,38.85621611,0.962860133,0.645014728,1.22331477989808,1.32170622530502,1.26471858620106,1.05531630531631,1.17689387315914,1.159192531884,1.2524266124258,1.19842608308984
"6","180301_03_B_CausewayBay_02.mp4",3.1780201,1920,1080,15.52,25,388,3885.625366,58.90541935,1,0.3227,0.9,"slow",37.93,95.10339355,1.470677376,42.78593592,0.976149535,0.704131666,1.89240616601663,1.92478472202407,1.87727309998464,1.40366013071895,1.27653946415572,1.34819399981628,1.37126123332875,1.33741285294119
"7","180301_03_B_CausewayBay_03.mp4",3.0954212,1920,1080,30.44,25,761,3809.698242,113.2665501,1,0.2882,0.95,"medium",34.17,83.23657227,2.524577141,41.62838711,0.963558281,0.536987699,1.68627857977338,1.8314669321383,1.69385291589939,1.15301582670848,1.46021201329399,1.4624938710401,1.58841439095124,1.46906302295506
"8","180626_07_DMZ_08.mp4",4.5333008,1920,1080,8.56,25,214,4242.866333,35.80779743,1,0.2749,0.94,"fast",6.84,419.2156982,3.575533867,34.54986109,0.972105391,0.650818186,1.50113607355422,1.68332262024354,1.53950921025918,1.04205921938089,1,1.44054775931648,1.61538095814137,1.47737209328069
"9","720-120fps View.MOV",3.5250802,1280,720,10.625,120,1275,3466.872314,37.75668812,1,0.0819,0.92,"veryfast",14.12,923.3747559,9.775444984,30.1870951,0.918852487,0.501859839,1.22337349487879,1.30528139853289,1.25721001901061,1.02426322641733,1.04853887148946,1.19439365128622,1.27436128220527,1.22742864000701
"10","720-120fps Walking.MOV",3.1019939,1280,720,10.125,120,1215,5566.698608,56.74141026,1,0.426,0.6,"fast",26,1999.579224,20.17266655,27.33784554,0.899214612,0.42754818,1.08063964228909,1.16361265827584,1.10472944126934,1.03533854869166,1.04277222589202,1.04375486033498,1.12389581141963,1.06702241760954
"11","bars_100.avi",4.1686934,720,576,4.04,25,101,2983.59375,14.73564529,1,0,0.97,"veryfast",0.37,2.554199219,0.010281563,50.42525676,0.997299314,0.85884951,1.68495296134227,1.80950551477308,1.6514574904647,1.06521739130435,1.15884269697006,1.58179257595397,1.6987194628482,1.55034784819135
"12","bb1.mkv",4.3651539,1280,720,172.714,29.97,5176,447.0131836,75.39593601,2,0.11812,0.93483,"faster",41.93,23.11437988,3.977581024,44.8,0.980354715,0.603399027,1.76056338028169,1.48149821582452,1.28308610788301,1.03665249808376,1,1.69831586142519,1.42911748976928,1.23772055752028
"13","bb2.mkv",4.294333,1280,720,252.925,29.97,7580,1749.949585,432.2324352,24,0.28749,0.80082,"medium",163.79,118.4677734,29.85460472,44.8,0.874482861,0.409703983,1.77941176470588,1.56636686928306,1.36821980831224,1.09772541783471,1,1.62099896367145,1.42692047012336,1.24641352571674
"14","bb3.mkv",4.2181931,1280,720,289.608,29.97,8679,398.5480957,112.7174883,4,0.33707,0.9309,"veryfast",88.45,58.39001465,16.84808636,44.54,0.984777889,0.715960389,1.54135338345865,1.44272829117607,1.38618443694046,1.03201154559824,1.0039148243742,1.49354277094366,1.39797689020983,1.34318694674769
"15","bb4.mkv",4.0369217,1280,720,166.982,29.97,5004,490.7335205,80.02311134,3,0.0745,0.95767,"veryfast",38.81,21.390625,3.558614731,44.54,0.977692594,0.723444253,1.58333333333333,1.3923051806344,1.23154868646772,1.03770204188286,1.00431243766634,1.52580728323561,1.34171961164124,1.18680376135055
"16","bb5.mkv",4.1354997,1280,720,289.443,29.97,8674,358.5378418,101.3439989,2,0.09707,0.94576,"veryfast",74.48,28.58691406,8.243812561,44.8,0.9768081,0.602168492,1.73611111111111,1.36053439538353,1.19966669693378,1.03504969046788,1.00370627853999,1.67732151132408,1.31446287836531,1.15904261213922
"17","Burgos  Spain- A Virtual Day in the Pedestrian Precinct (Short version 720p).mp4",4.5432836,1280,720,325.023,29.97,9741,305.1757813,103.2941685,4,0.3202,0.94195,"faster",98.3,74.94750977,24.27179813,67,0.981036941,0.719567894,2,1.5042555035647,1.16208654169281,1.02708578579534,1,1.94725701364007,1.46458603981152,1.13144058438403
"18","byger-20030708-liten.avi",2.9561368,1024,576,121.48,25,3037,374.2772217,44.47452354,5,0.31566,0.95733,"fast",43.77,61.93444824,7.496641159,39.31919256,0.955238392,0.552932302,1.10190450644012,1.12562386642393,1.07567298350513,1.06143146913938,1.0527338024774,1.03813061745151,1.0604771943841,1.01341727165608
"19","credit-Ralph.Breaks.the.Internet.2018.1080p.BluRay.x264-SPARKS.avi",5.2658952,1920,808,61.248,30,1468,764.5021973,47.17855263,1,0.18853,0.67046,"faster",16.92,48.84777832,2.977091789,15.62478597,0.642175457,0.033994872,1.75289488511767,2,1.64239308567818,1.02033875246582,1.00414871114693,1.71795384707433,1.96013333333333,1.60965471683699
"20","credit-Robin.Hood.2018.1080p.WEB-DL.DD5.1.H264-FGT.avi",5.3105593,1920,798,60.024,30,1438,1265.165161,75.48967361,1,0.08508,0.33618,"fast",19.92,85.53283691,5.106376648,14.60618255,0.80915096,0.1062746,1.90652134344986,2,1.62554166254726,1.04171005083604,1,1.83018426472871,1.91992003762935,1.56045500496291
"21","fight1-Robin.Hood.2018.1080p.WEB-DL.DD5.1.H264-FGT.avi",3.5146937,1920,798,58.68,30,1406,2130.918457,123.325243,14,0.19698,0.46947,"medium",73.74,141.8182373,8.27829361,17.09416927,0.767542293,0.128498674,2,1.84521771441588,1.71357089239762,1.10487608924047,1.43145963263762,1.81015773576463,1.67006755995992,1.55091680332732
"22","fight2-FRobin.Hood.2018.1080p.WEB-DL.DD5.1.H264-FGT.avi",3.326763,1920,798,52.8,30,1264,2116.720703,110.1729431,10,0.24131,0.46774,"medium",69.58,192.5786133,10.10593224,16.3557894,0.746173515,0.133098354,2,1.91565261892744,1.67592973269877,1.09562791268089,1.53408624614,1.82543724639709,1.74845182087414,1.52965227820633
"23","fight3-Robin.Hood.2018.1080p.WEB-DL.DD5.1.H264-FGT.avi",3.6967175,1920,798,58.128,30,1394,1834.600098,105.4683132,3,0.39492,0.60618,"faster",39.75,129.0269775,7.467352867,16.91890071,0.748237369,0.121243919,1.08661541307871,1.9828613940817,1.34152952323514,1.02326488633543,1.16609343073106,1.06191019313694,1.93777918167683,1.31102859205841
"24","Forest_Slice.mov",4.3498616,1920,1080,10,25,250,4367.943115,42.79103088,1,0.18416,0.95512,"faster",5.14,108.8154297,1.084226608,40.17506241,0.971082554,0.719036996,1.32542433375881,1.69397326666309,1.42983146030133,1.02284382284382,1,1.29582278756274,1.65614068231191,1.39789812322076
"25","FroggerHighway.mp4",3.8837202,1920,1080,51.833,24,1243,5493.125,274.4662342,1,0.09169,0.8476,"slow",72.9,23.85925293,1.232496262,45.16231011,0.986221776,0.607262797,1.78315724859355,1.75259430695733,1.83594814644176,1.38313253012048,1,1.28921647764168,1.26711957732978,1.32738411284553
"26","gravity.falls.s02e20.1080p.bluray.x264-taxes.mkv",3.2213641,1920,1080,2638.998,23.976,63271,683.3496094,2238.944418,341,0.30173,0.72078,"slow",3579.13,95.43383789,250.9341545,43.93,0.99275,0.999999985,1.95575221238938,1.90625000000001,2,1.31548023937904,1.38331740289373,1.48672108773947,1.44909056247005,1.52035731144398
"27","handheld video.mp4",3.009796,3840,2160,60.654,30,1821,5862.145508,349.3742352,1,0.42705,0.63138,"fast",352.97,3869.003174,233.8081007,33.62,0.90624092,0.470013929,1.09004739336493,1.17913651190953,1.10759447377926,1.03315113244646,1.08592951611982,1.05507060790201,1.14130108836777,1.07205464814864
"28","HS051.mov",3.6699625,1920,1080,12.44,25,310,3122.967407,38.23340607,1,0.17277,0.89368,"faster",9.56,405.6120605,5.027602196,36.0711987,0.958480193,0.641578367,1.10177037201307,1.40605175465863,1.2340547402092,1.01959538184514,1,1.0805956869079,1.37902915185249,1.21033771060826
"29","INtensity-Robin.Hood.2018.1080p.WEB-DL.DD5.1.H264-FGT.avi",5.1513781,1920,798,12.6,30,302,1374.126343,17.09268951,1,0.26722,0.92563,"faster",4.83,90.82373047,1.131923676,20.12167437,0.699296799,0.132535607,1.69682511139357,2,1.56806581979408,1.02203543843707,1,1.66024097362847,1.95687930651256,1.53425777700235
"30","jellyfish-03-mbps-hd-h264.mkv",2.924801,1920,1080,30.03,29.97,900,357.0549316,10.6836586,1,0.3739,0.95,"faster",25.73,252.5529785,7.556792259,39.35181238,0.965439484,0.56351782,1.00334379813368,1.00462793279345,1.00353234991163,1.02964410782637,1,0.974456892927586,0.975704056534898,0.974640016180094
"31","jellyfish-30-mbps-hd-h264.mkv",2.9433021,1920,1080,30.03,29.97,900,3574.299316,106.9487982,1,0.3787,0.94,"faster",28.69,323.8612061,9.690447807,38.0098085,0.94673608,0.526296297,1.0056663295298,1.00713970632865,1.00603787252213,1.02566566994162,1,0.980501111621534,0.981937619483718,0.980863357334943
"32","jellyfish-70-mbps-hd-h264.mkv",2.9478508,1920,1080,30.03,29.97,900,8341.550781,249.5926313,1,0.3775,0.94,"faster",30.28,332.4677734,9.947967529,37.86782252,0.943904213,0.519260993,1.00655716022937,1.00832973479405,1.00733939922035,1.0252304188463,1,0.981786281138686,0.983515233510853,0.982549269610934
"33","mars-20030905.avi",4.2362198,1920,1080,15.24,25,381,1005.489136,14.97538948,1,0.0081,0.98,"faster",5.4,24.39831543,0.370488167,44.64409227,0.992329338,0.570617414,1.32244225065493,1.64436718787326,1.38725362318667,1.02781802376123,1,1.28665018522981,1.59986218363423,1.34970742983287
"34","messi goal.mp4",4.8185213,1920,1080,15.701,59.94,940,6843.75,105.0998707,1,0.25362,0.90947,"veryfast",21,301.8652344,4.717063904,8.97,0.171185525,0.002300781,2,1.96867017366206,1.0077601552031,1.0268109407875,1.00580469303744,1.94777823312452,1.91726645623022,0.9814466472574
"35","racing1-Ralph.Breaks.the.Internet.2018.1080p.BluRay.x264-SPARKS.avi",5.2450086,1920,808,60,30,1438,2048.721924,121.3241043,16,0.2409,0.4,"faster",41.45,199.0612793,11.88410759,11.85058309,0.59564183,0.089735062,1.63179319997271,2,1.69812443101879,1.0161885458892,1,1.60579767069195,1.96813869639706,1.67107220199267
"36","racing2-Ralph.Breaks.the.Internet.2018.1080p.BluRay.x264-SPARKS.avi",3.225606,1920,808,60.192,30,1443,1808.66333,107.6396008,24,0.35799,0.55271,"faster",42.59,217.5360107,13.0321455,10.94,0.573357792,0.057238102,1,2,1.40108218905366,1.02202974957635,1.33501031756945,0.978445099484156,1.95689019896831,1.37088200185408
"37","random1-Ralph.Breaks.the.Internet.2018.1080p.BluRay.x264-SPARKS.avi",4.1076879,1920,808,300.984,30,7216,1220.777466,366.1181374,39,0.3588,0.8,"faster",152.81,113.4700928,34.02760887,12.67948653,0.584335466,0.050172856,1.93738076438829,2,1.68449282435968,1.02356000383941,1.337119823294,1.89278670241227,1.95396458683217,1.64571966278586
"38","random2-Ralph.Breaks.the.Internet.2018.1080p.BluRay.x264-SPARKS.avi",5.8470199,1920,808,301.008,30,7217,828.4587402,250.863821,35,0.3384,0.7,"faster",115.19,77.73156738,23.31343174,13.35268086,0.604017775,0.04431834,2,2,2,1.02616376704507,1,1.94900664419206,1.94900664419206,1.94900664419206
"39","rick.and.morty.2014.s01e01.pilot.720p.hdtv.x264.mkv",3.0270774,1280,720,1348.672,23.976,32335,278.225708,447.370141,182,0.21512,0.63227,"slow",830.27,78.71679688,105.7773323,38.84,0.97276634,0.473838421,1.88053097345133,1.92412417507739,1.91139963688893,1.24381373830836,1.51815986795063,1.51190722174281,1.546955235994,1.5367249757898
"40","rick.and.morty.2014.s01e03.anatomy.park.720p.hdtv.x264.mkv",3.9665244,1280,720,1313.792,23.976,31499,416.0251465,616.1863623,185,0.20892,0.56572,"faster",299.42,86.90258789,113.7581348,43.85,0.987023625,0.705255189,1.25974025974026,1.47670835088114,1.34206156131711,1.02823272845155,1,1.22515090687431,1.43616159067896,1.30521186904658
"41","rick.and.morty.2014.s01e04.m.night.shaym-aliens!.720p.hdtv.x264.mkv",4.0263917,1280,720,1263.488,23.976,30293,395.7220459,567.0330553,212,0.21282,0.56813,"fast",359.01,96.8026123,121.8658504,48.9,0.989201825,0.708694591,1.7319587628866,1.63373683613469,1.79553615528769,1.05580245185522,1.21410059912682,1.64041934155699,1.54738874991618,1.70063647051835
"42","rick.and.morty.2014.s01e05.meeseeks.and.destroy.720p.hdtv.x264.mkv",3,1280,720,1268.256,23.976,30407,285.4255371,429.7934809,187,0.21327,0.61337,"slower",2581.64,79.13952637,100.0045614,48.86,0.994684513,0.677985183,2,2,2,2,1,1,1,1
"43","Robin.Hood.2018.1080p.WEB-DL.DD5.1.H264-FGT (2).avi",5.7478303,1920,798,60.024,30,1439,1132.62854,67.8105793,1,0.2171,0.94,"faster",20.87,52.60546875,3.142790794,15.55800227,0.732921741,0.125972826,1.98622206968522,2,1.93384566201717,1.0289374128891,1.00099931481687,1.93036237656887,1.94375282203445,1.87945898146247
"44","Robin.Hood.2018.1080p.WEB-DL.DD5.1.H264-FGT (3).avi",4.6343114,1920,798,60.024,30,1439,1929.886353,114.49897,5,0.5029,0.63,"veryfast",50.1,188.2613525,11.2472229,13.47003045,0.69649309,0.075949814,1.47929102523802,1.98846413601113,1.31669520088494,1.02446164101672,1.00774613979214,1.44396916976794,1.94098447067055,1.28525573644533
"45","Robin.Hood.2018.1080p.WEB-DL.DD5.1.H264-FGT.avi",5.3513972,1920,798,60.024,30,1439,1250.937134,74.73888779,1,0.2328,0.83,"veryfast",27.7,72.19665527,4.313220024,17.22113236,0.744485031,0.124413362,1.79190275474379,2,1.76664783988335,1.03222082283795,1.00628677199117,1.73596842371111,1.9375699034062,1.71150184223778
"46","Samsung Galaxy S9- Remix Your Everyday.mp4",2.9228265,1280,720,30.047,23.976,720,162.4312744,5.23041153,7,0.2644,0.58,"faster",10.29,91.54199219,2.73908329,41.20747932,0.967820648,0.615453085,1.00652648718212,1.00257603108193,1.00449720986754,1.0310566691413,1,0.97620869667657,0.972377233073819,0.974240543639678
"47","talking1-Robin.Hood.2018.1080p.WEB-DL.DD5.1.H264-FGT.avi",5.4350016,1920,798,98.52,30,2362,793.5748291,78.73640251,1,0.3253,0.95,"veryfast",33.13,39.06115723,3.83422184,14.72144372,0.696838727,0.086933999,1.62826747471437,2,1.96010037287242,1.02821824381927,1,1.58358158348392,1.94511234557665,1.90630771692177
"48","talking2-Robin.Hood.2018.1080p.WEB-DL.DD5.1.H264-FGT.avi",5.3213213,1920,798,97.92,30,2347,841.3157959,82.76462746,2,0.3114,0.91,"faster",42.38,65.06237793,6.339612007,15.13459815,0.696940468,0.105460806,1.8919741951612,1.9974720945105,1.63384316263706,1.03795451253078,1,1.82279104943444,1.92443124471821,1.57409900232848
"49","tv-control-room-static-camera-loop_n18w6shax__WL.mp4",4.7380246,1920,1080,30.04,25,751,1519.837769,44.58968639,1,0.0201,0.99,"veryfast",11.06,54.95458984,1.644879341,40.85892928,0.981931162,0.719151503,1.54294413585126,1.7386811869857,1.56120959975448,1.02212109720642,1,1.50955120686611,1.70105204925104,1.52742136330171
"50","wide-20040607-small.avi",3.1989017,1024,576,79.12,25,1978,375.8397217,29.08767128,10,0.3515,0.95,"faster",24.05,52.9206543,4.171964645,39.94634345,0.959829325,0.530323369,1.10043898378004,1.15157389302774,1.0747119539888,1.0367606824852,1.00308436770125,1.06142044386001,1.11074224985782,1.03660562379027
"51","With Cars or Without-.mp4",4.4068956,1920,1080,60.16,29.97,1803,549.3164063,34.03019619,10,0.23207,0.82936,"veryfast",28.46,156.1365967,9.359273911,51.38,0.959578478,0.680462881,1.63946869070209,1.43502116800313,1.41516740986118,1.01878003154458,1,1.60924698162416,1.40856821253895,1.38908043546518
"52","With Cars or Without-_2.mp4",4.9724777,640,360,60.162,29.97,1803,89.2935791,6.061433792,13,0.13452,0.76019,"veryfast",3.97,15.34655762,0.91991806,41.29,0.952114034,0.710206598,1.81578947368421,1.65921145626788,1.60399473007421,1.02117183653373,1.00024449311347,1.7781429223976,1.62481121874641,1.57073929449407
